country	region
algeria	northern_africa
egypt	northern_africa
libya	northern_africa
morocco	northern_africa
sudan	northern_africa
tunisia	northern_africa
western_sahara	northern_africa
burundi	eastern_africa
comoros	eastern_africa
djibouti	eastern_africa
eritrea	eastern_africa
ethiopia	eastern_africa
kenya	eastern_africa
madagascar	eastern_africa
malawi	eastern_africa
mauritius	eastern_africa
mozambique	eastern_africa
rwanda	eastern_africa
seychelles	eastern_africa
somalia	eastern_africa
tanzania	eastern_africa
uganda	eastern_africa
zambia	eastern_africa
zimbabwe	eastern_africa
angola	central_africa
cameroon	central_africa
central_african_republic	central_africa
chad	central_africa
congo	central_africa
democratic_republic_of_congo	central_africa
equatorial_guinea	central_africa
gabon	central_africa
sao_tome_and_principe	central_africa
benin	western_africa
burkina_faso	western_africa
cape_verde	western_africa
gambia	western_africa
ghana	western_africa
guinea	western_africa
guinea_bissau	western_africa
ivory_coast	western_africa
liberia	western_africa
mali	western_africa
mauritania	western_africa
niger	western_africa
nigeria	western_africa
senegal	western_africa
sierra_leone	western_africa
togo	western_africa
botswana	southern_africa
eswatini	southern_africa
lesotho	southern_africa
namibia	southern_africa
south_africa	southern_africa
denmark	northern_europe
estonia	northern_europe
finland	northern_europe
iceland	northern_europe
ireland	northern_europe
latvia	northern_europe
lithuania	northern_europe
norway	northern_europe
sweden	northern_europe
united_kingdom	northern_europe
albania	southern_europe
andorra	southern_europe
bosnia_and_herzegovina	southern_europe
croatia	southern_europe
greece	southern_europe
italy	southern_europe
malta	southern_europe
montenegro	southern_europe
north_macedonia	southern_europe
portugal	southern_europe
san_marino	southern_europe
serbia	southern_europe
slovenia	southern_europe
spain	southern_europe
vatican_city	southern_europe
belarus	eastern_europe
bulgaria	eastern_europe
czech_republic	eastern_europe
czechia	eastern_europe
hungary	eastern_europe
moldova	eastern_europe
poland	eastern_europe
romania	eastern_europe
russia	eastern_europe
slovakia	eastern_europe
ukraine	eastern_europe
austria	western_europe
belgium	western_europe
france	western_europe
germany	western_europe
liechtenstein	western_europe
luxembourg	western_europe
monaco	western_europe
netherlands	western_europe
switzerland	western_europe
antigua_and_barbuda	caribbean
bahamas	caribbean
barbados	caribbean
cuba	caribbean
dominican_republic	caribbean
dominica	caribbean
grenada	caribbean
haiti	caribbean
jamaica	caribbean
saint_kitts_and_nevis	caribbean
saint_lucia	caribbean
saint_vincent_and_the_grenadines	caribbean
trinidad_and_tobago	caribbean
belize	central_america
costa_rica	central_america
el_salvador	central_america
guatemala	central_america
honduras	central_america
nicaragua	central_america
panama	central_america
canada	north_america
mexico	north_america
usa	north_america
china	eastern_asia
hong_kong	eastern_asia
hongkong	eastern_asia
taiwan	eastern_asia
japan	japan_korea
north_korea	japan_korea
south_korea	japan_korea
mongolia	eastern_asia
kazakhstan	central_asia
kyrgyzstan	central_asia
tajikistan	central_asia
turkmenistan	central_asia
uzbekistan	central_asia
afghanistan	southern_asia
bangladesh	southern_asia
bhutan	southern_asia
india	southern_asia
iran	southern_asia
maldives	southern_asia
nepal	southern_asia
pakistan	southern_asia
sri_lanka	southern_asia
brunei	south-eastern_asia
cambodia	south-eastern_asia
indonesia	south-eastern_asia
laos	south-eastern_asia
malaysia	south-eastern_asia
myanmar	south-eastern_asia
philippines	south-eastern_asia
singapore	south-eastern_asia
thailand	south-eastern_asia
timor-leste	south-eastern_asia
vietnam	south-eastern_asia
armenia	western_asia
azerbaijan	western_asia
bahrain	western_asia
cyprus	western_asia
georgia	western_asia
iraq	western_asia
israel	western_asia
jordan	western_asia
kuwait	western_asia
lebanon	western_asia
oman	western_asia
qatar	western_asia
saudi_arabia	western_asia
syria	western_asia
turkey	western_asia
united_arab_emirates	western_asia
yemen	western_asia
australia	oceania
fiji	oceania
kiribati	oceania
marshall_islands	oceania
micronesia	oceania
nauru	oceania
new_zealand	oceania
palau	oceania
papua_new_guinea	oceania
samoa	oceania
solomon_islands	oceania
tonga	oceania
tuvalu	oceania
vanuatu	oceania
argentina	south_america
bolivia	south_america
brazil	south_america
chile	south_america
colombia	south_america
ecuador	south_america
guyana	south_america
paraguay	south_america
peru	south_america
suriname	south_america
uruguay	south_america
venezuela	south_america